session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
2,2,ol2yyfoz,86,incomplete_random,Results,1583940119,6,11,False
2,2,ol2yyfoz,88,incomplete_random,Pagos,1583940161,42,11,False
2,2,ol2yyfoz,89,survey,CognitiveReflectionTest,1583940211,50,2,False
2,2,ol2yyfoz,90,survey2,DemographicsPageOne,1583940266,55,2,False
2,2,ol2yyfoz,91,survey2,DemographicsPageTwo,1583940300,34,2,False
2,2,ol2yyfoz,92,survey2,DemographicsPageThree,1583940322,22,2,False
2,2,ol2yyfoz,93,survey2,DemographicsPageFour,1583940359,37,2,False
2,3,2m7aqrpz,1,incomplete_random,Welcome,1583939370,75,1,False
2,3,2m7aqrpz,2,incomplete_random,Instructions,1583939557,187,1,False
2,3,2m7aqrpz,3,incomplete_random,Cutoff,1583939689,132,1,False
2,3,2m7aqrpz,4,incomplete_random,CutWaitPage,1583939689,0,1,False
2,3,2m7aqrpz,5,incomplete_random,ResultsWaitPage,1583939689,0,1,False
2,3,2m7aqrpz,6,incomplete_random,Results,1583939709,20,1,False
2,3,2m7aqrpz,7,incomplete_random,Trial,1583939713,4,1,False
2,3,2m7aqrpz,11,incomplete_random,Cutoff,1583939729,16,2,False
2,3,2m7aqrpz,12,incomplete_random,CutWaitPage,1583939729,0,2,False
2,3,2m7aqrpz,13,incomplete_random,ResultsWaitPage,1583939729,0,2,False
2,3,2m7aqrpz,14,incomplete_random,Results,1583939761,32,2,False
2,3,2m7aqrpz,19,incomplete_random,Cutoff,1583939781,20,3,False
2,3,2m7aqrpz,20,incomplete_random,CutWaitPage,1583939781,0,3,False
2,3,2m7aqrpz,21,incomplete_random,ResultsWaitPage,1583939781,0,3,False
2,3,2m7aqrpz,22,incomplete_random,Results,1583939793,12,3,False
2,3,2m7aqrpz,27,incomplete_random,Cutoff,1583939806,13,4,False
2,3,2m7aqrpz,28,incomplete_random,CutWaitPage,1583939806,0,4,False
2,3,2m7aqrpz,29,incomplete_random,ResultsWaitPage,1583939806,0,4,False
2,3,2m7aqrpz,30,incomplete_random,Results,1583939817,11,4,False
2,3,2m7aqrpz,35,incomplete_random,Cutoff,1583939839,22,5,False
2,3,2m7aqrpz,36,incomplete_random,CutWaitPage,1583939842,3,5,False
2,3,2m7aqrpz,37,incomplete_random,ResultsWaitPage,1583939842,0,5,False
2,3,2m7aqrpz,38,incomplete_random,Results,1583939854,12,5,False
2,3,2m7aqrpz,43,incomplete_random,Cutoff,1583939874,20,6,False
2,3,2m7aqrpz,44,incomplete_random,CutWaitPage,1583939888,14,6,False
2,3,2m7aqrpz,45,incomplete_random,ResultsWaitPage,1583939888,0,6,False
2,3,2m7aqrpz,46,incomplete_random,Results,1583939896,8,6,False
2,3,2m7aqrpz,51,incomplete_random,Cutoff,1583939915,19,7,False
2,3,2m7aqrpz,52,incomplete_random,CutWaitPage,1583939946,31,7,False
2,3,2m7aqrpz,53,incomplete_random,ResultsWaitPage,1583939946,0,7,False
2,3,2m7aqrpz,54,incomplete_random,Results,1583939959,13,7,False
2,3,2m7aqrpz,59,incomplete_random,Cutoff,1583939974,15,8,False
2,3,2m7aqrpz,60,incomplete_random,CutWaitPage,1583940031,57,8,False
2,3,2m7aqrpz,61,incomplete_random,ResultsWaitPage,1583940031,0,8,False
2,3,2m7aqrpz,62,incomplete_random,Results,1583940053,22,8,False
